@relation MessageChains

@attribute NOTI REAL
@attribute class {0,1}

@Data
0.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
4.0,1
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
2.0,0
1.0,0
-1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
0.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
1.0,0
2.0,0
2.0,0
2.0,0
1.0,0
1.0,0
0.0,0
4.0,1
2.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
2.0,0
2.0,0
2.0,0
3.0,0
3.0,0
0.0,0
2.0,0
0.0,0
0.0,0
2.0,0
4.0,1
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
3.0,0
0.0,0
1.0,0
1.0,0
2.0,0
2.0,0
2.0,0
1.0,0
1.0,0
0.0,0
1.0,0
3.0,0
3.0,0
2.0,0
2.0,0
2.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
2.0,0
1.0,0
3.0,0
3.0,0
3.0,0
4.0,1
1.0,0
3.0,0
4.0,1
2.0,0
-1.0,0
2.0,0
2.0,0
2.0,0
1.0,0
1.0,0
2.0,0
2.0,0
1.0,0
-1.0,0
3.0,0
1.0,0
2.0,0
2.0,0
0.0,0
0.0,0
0.0,0
0.0,0
-1.0,0
1.0,0
1.0,0
2.0,0
2.0,0
1.0,0
2.0,0
0.0,0
2.0,0
2.0,0
2.0,0
2.0,0
2.0,0
1.0,0
2.0,0
2.0,0
2.0,0
3.0,0
1.0,0
2.0,0
1.0,0
2.0,0
1.0,0
2.0,0
2.0,0
1.0,0
1.0,0
3.0,0
3.0,0
3.0,0
2.0,0
0.0,0
2.0,0
0.0,0
1.0,0
1.0,0
1.0,0
2.0,0
0.0,0
1.0,0
1.0,0
2.0,0
0.0,0
0.0,0
2.0,0
-1.0,0
1.0,0
-1.0,0
-1.0,0
2.0,0
2.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
2.0,0
2.0,0
1.0,0
2.0,0
0.0,0
0.0,0
1.0,0
2.0,0
2.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
1.0,0
2.0,0
2.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
2.0,0
2.0,0
2.0,0
3.0,0
2.0,0
2.0,0
2.0,0
0.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
2.0,0
-1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
2.0,0
4.0,1
0.0,0
1.0,0
1.0,0
2.0,0
1.0,0
0.0,0
2.0,0
2.0,0
1.0,0
2.0,0
3.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
3.0,0
2.0,0
-1.0,0
1.0,0
0.0,0
4.0,1
4.0,1
4.0,1
2.0,0
2.0,0
2.0,0
2.0,0
3.0,0
1.0,0
2.0,0
2.0,0
1.0,0
1.0,0
2.0,0
5.0,1
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
5.0,1
6.0,1
0.0,0
5.0,1
-1.0,0
2.0,0
1.0,0
1.0,0
3.0,0
1.0,0
1.0,0
0.0,0
1.0,0
2.0,0
0.0,0
1.0,0
0.0,0
0.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
2.0,0
3.0,0
1.0,0
0.0,0
1.0,0
-1.0,0
3.0,0
1.0,0
3.0,0
-1.0,0
3.0,0
2.0,0
3.0,0
5.0,1
4.0,1
4.0,1
5.0,1
4.0,1
4.0,1
4.0,1
4.0,1
3.0,0
4.0,1
3.0,0
2.0,0
2.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
0.0,0
1.0,0
0.0,0
2.0,0
2.0,0
1.0,0
1.0,0
3.0,0
3.0,0
2.0,0
1.0,0
3.0,0
1.0,0
1.0,0
2.0,0
1.0,0
2.0,0
1.0,0
1.0,0
2.0,0
1.0,0
3.0,0
3.0,0
4.0,1
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
2.0,0
4.0,1
2.0,0
1.0,0
4.0,1
3.0,0
1.0,0
0.0,0
3.0,0
3.0,0
5.0,1
2.0,0
0.0,0
1.0,0
0.0,0
2.0,0
2.0,0
2.0,0
2.0,0
0.0,0
2.0,0
2.0,0
2.0,0
-1.0,0
-1.0,0
1.0,0
-1.0,0
2.0,0
3.0,0
1.0,0
4.0,1
3.0,0
3.0,0
-1.0,0
3.0,0
-1.0,0
3.0,0
1.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
0.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
1.0,0
-1.0,0
1.0,0
2.0,0
1.0,0
1.0,0
3.0,0
1.0,0
1.0,0
3.0,0
1.0,0
1.0,0
0.0,0
0.0,0
0.0,0
1.0,0
3.0,0
1.0,0
1.0,0
3.0,0
1.0,0
-1.0,0
3.0,0
3.0,0
-1.0,0
2.0,0
1.0,0
2.0,0
2.0,0
1.0,0
-1.0,0
-1.0,0
2.0,0
2.0,0
1.0,0
1.0,0
1.0,0
2.0,0
2.0,0
0.0,0
2.0,0
2.0,0
