@relation Blob

@attribute NAD_NMD REAL
@attribute LCOM5 REAL
@attribute DataSize REAL
@attribute class {0,1}

@Data
3.0,0.0,0,0
14.0,1.0740740729702845,0,0
4.0,0.0,0,0
5.0,2.0,0,0
3.0,0.0,0,0
49.0,1.125,0,0
36.0,1.0344827586206897,0,0
5.0,2.0,0,0
42.0,0.9799999982118607,0,0
10.0,1.5,0,0
13.0,0.9285714285714286,0,0
6.0,1.3333333333333333,0,0
17.0,0.8611111044883728,0,0
2.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
17.0,0.8055555472771326,0,0
25.0,1.095238094528516,0,0
33.0,0.9940476169188818,0,0
2.0,0.0,0,0
3.0,0.0,0,0
11.0,1.1111111094554265,0,0
8.0,0.4,0,0
91.0,1.0059523805975914,0,0
12.0,1.095238093818937,0,0
9.0,0.5,0,0
10.0,1.25,0,0
51.0,0.7555555555555555,0,0
13.0,0.888888880610466,0,0
47.0,1.037037037037037,0,0
59.0,0.9900332211061965,0,0
4.0,0.0,0,0
5.0,1.5,0,0
1.0,0.0,0,0
19.0,1.0833333333333333,0,0
7.0,0.8333333333333334,0,0
13.0,0.7777777777777778,0,0
11.0,0.7857142857142857,0,0
21.0,1.0333333333333334,0,0
14.0,1.0740740729702845,0,0
22.0,0.9871794845049198,0,0
2.0,0.0,0,0
4.0,1.0,0,0
23.0,0.6470588235294118,0,0
99.0,1.011241446841847,0,0
2.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
14.0,1.0857142806053162,0,0
1.0,0.0,0,0
52.0,0.9871323526604101,0,0
12.0,0.9375,0,0
6.0,1.3333333333333333,0,0
12.0,1.444444440305233,0,0
7.0,0.666666641831398,0,0
13.0,1.1785714253783226,0,0
11.0,0.0,0,0
9.0,0.0,0,0
9.0,0.0,0,0
9.0,0.0,0,0
8.0,0.0,0,0
8.0,0.0,0,0
9.0,1.166666641831398,0,0
6.0,1.25,0,0
11.0,1.2777777761220932,0,0
26.0,1.0666666666666667,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
42.0,1.015625,0,0
11.0,0.888888880610466,0,0
16.0,2.0,0,0
5.0,0.0,0,0
29.0,1.0308641973468993,0,0
7.0,1.75,0,0
4.0,0.0,0,0
3.0,0.0,0,0
5.0,0.0,0,0
7.0,0.0,0,0
27.0,1.0235294112387825,0,0
22.0,1.0119047601308142,0,0
9.0,1.0,0,0
4.0,0.0,0,0
32.0,0.9615384615384616,0,0
102.0,0.9966666661699612,0,0
25.0,1.0230769222745528,0,0
61.0,1.01893939388295,0,0
3.0,0.0,0,0
137.0,1.0052399336911586,0,0
6.0,1.3333333333333333,0,0
11.0,1.25,0,0
6.0,1.3333333333333333,0,0
4.0,0.0,0,0
8.0,1.2,0,0
4.0,0.0,0,0
86.0,1.0136986301369864,0,0
289.0,1.0046345810970347,0,0
16.0,0.0,0,0
16.0,1.088888888557752,0,0
66.0,0.970370369652907,0,0
10.0,1.4166666641831398,0,0
18.0,0.9666666626930237,0,0
59.0,1.0185185185012717,0,0
10.0,1.133333330353101,0,0
4.0,0.0,0,0
2.0,0.0,0,0
9.0,1.2,0,0
10.0,1.0833333333333333,0,0
9.0,1.2,0,0
8.0,1.2,0,0
5.0,0.0,0,0
6.0,0.0,0,0
4.0,0.0,0,0
8.0,0.0,0,0
77.0,1.0127840908244252,0,0
9.0,1.2,0,0
81.0,1.0149253731343284,0,0
115.0,1.011764705882353,0,0
24.0,0.0,0,0
3.0,0.0,0,0
9.0,1.2,0,0
8.0,1.2,0,0
12.0,1.0833333333333333,0,0
11.0,1.25,0,0
30.0,1.0297619023670752,0,0
37.0,1.0333333333333334,0,0
15.0,1.1142857104539872,0,0
1.0,0.0,0,0
11.0,1.1428571428571428,0,0
2.0,0.0,0,0
7.0,1.25,0,0
8.0,1.2,0,0
39.0,1.0277777777777777,0,0
39.0,1.0277777777777777,0,0
144.0,1.0070921985815602,0,0
16.0,1.0769230769230769,0,0
24.0,1.0476190476190477,0,0
13.0,0.0,0,0
42.0,1.0256410256410255,0,0
6.0,1.3333333333333333,0,0
27.0,1.0416666666666667,0,0
2.0,0.0,0,0
4.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
1.0,0.0,0,0
4.0,0.0,0,0
57.0,1.0238095238095237,0,0
4.0,0.0,0,0
3.0,0.0,0,0
2.0,0.0,0,0
5.0,1.5,0,0
4.0,2.0,0,0
4.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
100.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
3.0,0.0,0,0
2.0,0.0,0,0
19.0,1.0625,0,0
6.0,0.0,0,0
33.0,1.0344827586206897,0,0
42.0,1.0256410256410255,0,0
2.0,0.0,0,0
57.0,1.0188679245283019,0,0
40.0,1.027027027027027,0,0
4.0,2.0,0,0
121.0,1.0085470085470085,0,0
156.0,1.006578947368421,0,0
20.0,1.0588235294117647,0,0
17.0,1.0714285714285714,0,0
20.0,1.0625,0,0
29.0,1.0277777773638566,0,0
352.0,1.0028818443804035,0,0
30.0,1.037037037037037,0,0
80.0,1.0232558139534884,0,0
83.0,0.0,0,0
43.0,1.0234375,0,0
19.0,1.0769230769230769,0,0
24.0,1.0476190476190477,0,0
55.0,1.02,0,0
43.0,1.025,0,0
31.0,1.0222222220152617,0,0
6.0,1.3333333333333333,0,0
20.0,1.0588235294117647,0,0
26.0,1.0434782608695652,0,0
5.0,0.0,0,0
23.0,1.0909090909090908,0,0
5.0,2.0,0,0
4.0,0.0,0,0
19.0,0.969696966084567,0,0
13.0,2.0,0,0
33.0,1.0,0,0
10.0,1.1666666666666667,0,0
13.0,1.0333333313465118,0,0
2.0,0.0,0,0
2.0,0.0,0,0
24.0,1.125,0,0
28.0,1.0111111104488373,0,0
30.0,1.1363636354605358,0,0
8.0,1.125,0,0
11.0,1.1666666666666667,0,0
23.0,0.8333333250549104,0,0
14.0,1.05,0,0
3.0,0.0,0,0
5.0,1.5,0,0
3.0,0.0,0,0
2.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
21.0,0.9230769230769231,0,0
33.0,1.0307692306546063,0,0
43.0,0.0,0,0
5.0,1.5,0,0
2.0,0.0,0,0
4.0,0.0,0,0
7.0,1.25,0,0
7.0,0.0,0,0
21.0,1.0571428569299834,0,0
8.0,0.9999999900658926,0,0
3.0,0.0,0,0
2.0,0.0,0,0
7.0,1.3333333333333333,0,0
7.0,1.5,0,0
13.0,0.9583333283662796,0,0
5.0,0.0,0,0
39.0,1.033333332701163,0,0
7.0,0.0,0,0
6.0,1.5,0,0
6.0,2.0,0,0
4.0,2.0,0,0
24.0,1.0833333333333333,0,0
3.0,0.0,0,0
6.0,1.3333333333333333,0,0
6.0,1.5,0,0
