@relation LazyClass

@attribute NAD_NMD REAL
@attribute WMC REAL
@attribute class {0,1}

@Data
3.0,2.0,0
5.0,5.0,0
14.0,131.0,0
4.0,7.0,0
3.0,5.0,0
2.0,2.0,0
17.0,32.0,0
49.0,10.0,0
2.0,2.0,0
6.0,11.0,0
17.0,48.0,0
2.0,2.0,0
4.0,3.0,0
2.0,2.0,0
2.0,2.0,0
4.0,3.0,0
8.0,6.0,0
17.0,58.0,0
25.0,31.0,0
2.0,2.0,0
3.0,3.0,0
26.0,62.0,0
2.0,3.0,0
5.0,5.0,0
25.0,35.0,0
100.0,138.0,0
2.0,2.0,0
11.0,13.0,0
8.0,22.0,0
2.0,2.0,0
91.0,167.0,0
2.0,2.0,0
12.0,14.0,0
9.0,21.0,0
51.0,149.0,0
2.0,2.0,0
2.0,3.0,0
13.0,45.0,0
1.0,9.0,1
47.0,68.0,0
59.0,172.0,0
4.0,3.0,0
5.0,4.0,0
1.0,1.0,1
19.0,25.0,0
7.0,21.0,0
13.0,27.0,0
11.0,23.0,0
5.0,9.0,0
21.0,59.0,0
14.0,17.0,0
14.0,24.0,0
27.0,36.0,0
2.0,3.0,0
52.0,184.0,0
8.0,45.0,0
12.0,17.0,0
6.0,6.0,0
3.0,3.0,0
3.0,2.0,0
2.0,4.0,0
2.0,3.0,0
2.0,3.0,0
2.0,3.0,0
2.0,2.0,0
12.0,53.0,0
7.0,61.0,0
13.0,52.0,0
11.0,30.0,0
9.0,26.0,0
9.0,23.0,0
9.0,20.0,0
8.0,10.0,0
8.0,19.0,0
9.0,39.0,0
5.0,9.0,0
6.0,28.0,0
11.0,13.0,0
26.0,33.0,0
6.0,28.0,0
6.0,28.0,0
6.0,25.0,0
6.0,25.0,0
6.0,25.0,0
6.0,25.0,0
5.0,5.0,0
42.0,129.0,0
11.0,20.0,0
16.0,34.0,0
5.0,36.0,0
29.0,87.0,0
7.0,32.0,0
4.0,17.0,0
3.0,16.0,0
5.0,35.0,0
7.0,25.0,0
36.0,42.0,0
5.0,3.0,0
42.0,91.0,0
10.0,11.0,0
15.0,47.0,0
7.0,12.0,0
8.0,13.0,0
8.0,13.0,0
8.0,13.0,0
7.0,12.0,0
7.0,12.0,0
8.0,13.0,0
3.0,4.0,0
3.0,4.0,0
3.0,4.0,0
3.0,4.0,0
3.0,4.0,0
3.0,4.0,0
3.0,4.0,0
39.0,62.0,0
22.0,73.0,0
5.0,5.0,0
9.0,27.0,0
19.0,33.0,0
4.0,2.0,0
32.0,88.0,0
5.0,5.0,0
29.0,55.0,0
5.0,6.0,0
114.0,220.0,0
25.0,33.0,0
61.0,111.0,0
5.0,8.0,0
137.0,1126.0,0
6.0,5.0,0
11.0,8.0,0
6.0,5.0,0
4.0,7.0,0
8.0,13.0,0
4.0,4.0,0
22.0,47.0,0
4.0,12.0,0
7.0,10.0,0
61.0,30.0,0
12.0,12.0,0
86.0,426.0,0
289.0,898.0,0
16.0,1.0,0
16.0,29.0,0
66.0,182.0,0
18.0,63.0,0
59.0,394.0,0
10.0,47.0,0
4.0,5.0,0
2.0,3.0,0
2.0,62.0,0
7.0,8.0,0
9.0,13.0,0
10.0,41.0,0
9.0,12.0,0
8.0,17.0,0
5.0,58.0,0
6.0,6.0,0
4.0,31.0,0
8.0,25.0,0
77.0,655.0,0
9.0,12.0,0
81.0,327.0,0
115.0,401.0,0
3.0,10.0,0
9.0,13.0,0
8.0,11.0,0
12.0,18.0,0
11.0,8.0,0
30.0,140.0,0
37.0,310.0,0
15.0,50.0,0
1.0,1.0,1
11.0,30.0,0
2.0,2.0,0
14.0,10.0,0
17.0,97.0,0
10.0,135.0,0
32.0,29.0,0
30.0,68.0,0
13.0,9.0,0
13.0,55.0,0
6.0,48.0,0
6.0,51.0,0
7.0,6.0,0
12.0,15.0,0
19.0,86.0,0
7.0,20.0,0
8.0,7.0,0
39.0,38.0,0
39.0,38.0,0
144.0,149.0,0
16.0,15.0,0
24.0,23.0,0
13.0,21.0,0
42.0,41.0,0
6.0,5.0,0
27.0,26.0,0
2.0,1.0,0
4.0,2.0,0
2.0,1.0,0
2.0,1.0,0
5.0,5.0,0
3.0,3.0,0
3.0,2.0,0
1.0,1.0,1
4.0,3.0,0
57.0,56.0,0
5.0,5.0,0
4.0,4.0,0
3.0,2.0,0
2.0,1.0,0
5.0,15.0,0
4.0,3.0,0
4.0,3.0,0
3.0,3.0,0
7.0,6.0,0
12.0,21.0,0
14.0,13.0,0
4.0,4.0,0
7.0,16.0,0
4.0,4.0,0
20.0,19.0,0
35.0,34.0,0
9.0,10.0,0
31.0,30.0,0
38.0,37.0,0
4.0,4.0,0
3.0,4.0,0
88.0,211.0,0
158.0,442.0,0
19.0,36.0,0
15.0,16.0,0
5.0,5.0,0
78.0,97.0,0
15.0,14.0,0
27.0,34.0,0
374.0,637.0,0
91.0,109.0,0
28.0,150.0,0
14.0,21.0,0
26.0,61.0,0
2.0,2.0,0
3.0,3.0,0
11.0,11.0,0
15.0,11.0,0
3.0,2.0,0
3.0,3.0,0
37.0,64.0,0
41.0,78.0,0
7.0,15.0,0
17.0,50.0,0
6.0,10.0,0
13.0,27.0,0
25.0,59.0,0
5.0,5.0,0
15.0,35.0,0
7.0,13.0,0
2.0,2.0,0
19.0,35.0,0
6.0,23.0,0
33.0,92.0,0
42.0,236.0,0
2.0,17.0,0
57.0,103.0,0
40.0,128.0,0
4.0,10.0,0
121.0,307.0,0
156.0,672.0,0
20.0,47.0,0
17.0,46.0,0
20.0,45.0,0
29.0,150.0,0
352.0,1054.0,0
30.0,29.0,0
80.0,87.0,0
83.0,90.0,0
43.0,182.0,0
19.0,29.0,0
24.0,160.0,0
7.0,35.0,0
55.0,115.0,0
43.0,153.0,0
31.0,222.0,0
6.0,10.0,0
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
102.0,226.0,0
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
1.0,1.0,1
20.0,42.0,0
26.0,131.0,0
5.0,3.0,0
23.0,124.0,0
5.0,3.0,0
5.0,4.0,0
4.0,5.0,0
19.0,65.0,0
13.0,17.0,0
5.0,8.0,0
