@relation Blob

@attribute NAD_NMD REAL
@attribute LCOM5 REAL
@attribute DataSize REAL
@attribute class {0,1}

@Data
4.0,0.0,0,0
4.0,0.0,0,0
5.0,2.0,0,0
68.0,1.0169491525423728,0,0
12.0,1.125,0,0
7.0,1.5,0,0
18.0,1.1666666666666667,0,0
24.0,0.0,0,0
18.0,1.1,0,0
6.0,0.0,0,0
22.0,1.0769230769230769,0,0
4.0,0.0,0,0
8.0,0.0,0,0
11.0,0.0,0,0
3.0,0.0,0,0
28.0,1.1,0,0
22.0,0.0,0,0
11.0,0.0,0,0
2.0,0.0,0,0
5.0,0.0,0,0
5.0,0.0,0,0
5.0,1.5,0,0
1.0,0.0,0,0
1.0,0.0,0,0
9.0,1.5,0,0
1.0,0.0,0,0
3.0,0.0,0,0
5.0,0.0,0,0
2.0,0.0,0,0
14.0,0.0,0,0
16.0,1.08333333209157,0,0
32.0,2.0,0,0
10.0,0.5833333333333334,0,0
7.0,1.5,0,0
7.0,1.5,0,0
17.0,0.0,0,0
33.0,1.0470085466901462,0,0
4.0,2.0,0,0
7.0,2.0,0,0
5.0,1.0,0,0
15.0,1.2,0,0
3.0,0.0,0,0
34.0,1.031746030681663,0,0
5.0,0.0,0,0
31.0,1.0416666666666667,0,0
2.0,0.0,0,0
3.0,0.0,0,0
7.0,1.5,0,0
38.0,0.8676470588235294,0,0
4.0,0.0,0,0
6.0,1.3333333333333333,0,0
8.0,1.25,0,0
9.0,0.0,0,0
7.0,1.5,0,0
24.0,1.0909090909090908,0,0
13.0,1.1428571428571428,0,0
5.0,0.0,0,0
13.0,1.0714285714285714,0,0
6.0,1.3333333333333333,0,0
5.0,1.5,0,0
34.0,1.05,0,0
15.0,0.0,0,0
13.0,0.0,0,0
22.0,1.0444444440305234,0,0
19.0,1.0714285714285714,0,0
18.0,1.0666666666666667,0,0
13.0,1.3333333333333333,0,0
13.0,1.3333333333333333,0,0
4.0,0.0,0,0
2.0,0.0,0,0
9.0,1.25,0,0
7.0,2.0,0,0
7.0,2.0,0,0
7.0,2.0,0,0
8.0,2.0,0,0
12.0,2.0,0,0
7.0,2.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
24.0,0.9649122780875156,0,0
40.0,1.0227272721628349,0,0
6.0,2.0,0,0
2.0,0.0,0,0
25.0,1.0588235294117647,0,0
6.0,2.0,0,0
4.0,0.0,0,0
4.0,0.0,0,0
15.0,1.2,0,0
15.0,1.1111111111111112,0,0
7.0,2.0,0,0
12.0,2.0,0,0
7.0,1.3333333333333333,0,0
4.0,0.0,0,0
17.0,1.1111111111111112,0,0
13.0,0.9666666636864344,0,0
10.0,1.266666665673256,0,0
4.0,0.0,0,0
25.0,1.0555555530720286,0,0
6.0,1.5,0,0
10.0,1.25,0,0
9.0,1.25,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
5.0,1.0,0,0
11.0,1.5,0,0
16.0,1.2,0,0
10.0,1.3333333333333333,0,0
3.0,0.0,0,0
9.0,1.5,0,0
13.0,1.125,0,0
13.0,1.1666666666666667,0,0
3.0,0.0,0,0
6.0,0.0,0,0
13.0,1.2,0,0
4.0,2.0,0,0
4.0,2.0,0,0
4.0,2.0,0,0
23.0,1.0092592587073643,0,0
3.0,0.0,0,0
2.0,0.0,0,0
13.0,1.0,0,0
4.0,2.0,0,0
10.0,1.25,0,0
8.0,2.0,0,0
17.0,0.9821428507566452,0,0
6.0,0.0,0,0
12.0,1.25,0,0
12.0,1.2,0,0
3.0,0.0,0,0
7.0,1.5,0,0
10.0,1.2,0,0
7.0,1.5,0,0
21.0,1.095238093818937,0,0
4.0,0.0,0,0
12.0,0.0,0,0
22.0,1.050505050204017,0,0
12.0,1.095238093818937,0,0
13.0,1.0416666641831398,0,0
8.0,1.2,0,0
3.0,0.0,0,0
8.0,1.2,0,0
5.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
12.0,1.119999998807907,0,0
10.0,1.1666666666666667,0,0
17.0,1.1428571428571428,0,0
12.0,1.1111111111111112,0,0
9.0,0.6666666666666666,0,0
16.0,1.1428571428571428,0,0
17.0,0.0,0,0
7.0,1.3333333283662796,0,0
12.0,0.9999999957425254,0,0
7.0,1.3333333283662796,0,0
14.0,0.9,0,0
5.0,2.0,0,0
15.0,1.023809517423312,0,0
6.0,1.5,0,0
6.0,1.5,0,0
8.0,0.8333333333333334,0,0
20.0,1.0666666666666667,0,0
15.0,1.0909090909090908,0,0
5.0,2.0,0,0
14.0,1.171428570151329,0,0
4.0,0.0,0,0
10.0,1.1666666666666667,0,0
20.0,1.0666666666666667,0,0
7.0,1.5,0,0
3.0,0.0,0,0
8.0,1.2,0,0
4.0,2.0,0,0
8.0,1.2,0,0
3.0,0.0,0,0
8.0,1.2,0,0
3.0,0.0,0,0
8.0,1.2,0,0
3.0,0.0,0,0
3.0,0.0,0,0
8.0,1.2,0,0
4.0,2.0,0,0
8.0,1.25,0,0
6.0,1.5,0,0
10.0,1.1428571428571428,0,0
13.0,1.0416666641831398,0,0
9.0,1.1666666666666667,0,0
6.0,2.0,0,0
7.0,1.3333333333333333,0,0
18.0,1.1818181812763213,0,0
12.0,1.20833333209157,0,0
7.0,1.1666666567325592,0,0
14.0,1.1388888880610466,0,0
7.0,1.5,0,0
10.0,1.3333333333333333,0,0
9.0,1.25,0,0
3.0,0.0,0,0
2.0,0.0,0,0
6.0,1.3333333333333333,0,0
20.0,1.049999998882413,0,0
9.0,1.25,0,0
2.0,0.0,0,0
28.0,1.0909090909090908,0,0
13.0,0.0,0,0
10.0,1.25,0,0
8.0,1.3333333333333333,0,0
7.0,2.0,0,0
8.0,1.3333333333333333,0,0
2.0,0.0,0,0
18.0,1.095238094528516,0,0
16.0,0.9166666604578495,0,0
12.0,1.1666666666666667,0,0
7.0,0.0,0,0
9.0,1.3333333333333333,0,0
15.0,1.21875,0,0
9.0,1.3333333333333333,0,0
9.0,1.3333333333333333,0,0
6.0,1.5,0,0
8.0,1.3333333333333333,0,0
10.0,1.1428571428571428,0,0
9.0,1.25,0,0
10.0,1.266666665673256,0,0
8.0,1.5,0,0
8.0,1.5,0,0
10.0,1.25,0,0
8.0,1.3333333333333333,0,0
14.0,1.2,0,0
11.0,1.5,0,0
8.0,1.5,0,0
8.0,1.5,0,0
22.0,1.0606060591008928,0,0
13.0,1.1428571428571428,0,0
3.0,0.0,0,0
24.0,1.0854700845148828,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
7.0,2.0,0,0
6.0,1.3333333333333333,0,0
5.0,0.0,0,0
2.0,0.0,0,0
4.0,0.0,0,0
4.0,0.0,0,0
4.0,0.0,0,0
4.0,0.0,0,0
4.0,0.0,0,0
6.0,0.0,0,0
4.0,0.0,0,0
4.0,0.0,0,0
7.0,1.5,0,0
7.0,1.5,0,0
7.0,0.0,0,0
5.0,0.0,0,0
40.0,1.0476190476190477,0,0
6.0,2.0,0,0
6.0,0.0,0,0
16.0,1.5,0,0
4.0,0.0,0,0
16.0,1.1,0,0
7.0,0.0,0,0
10.0,0.9333333253860474,0,0
5.0,0.0,0,0
5.0,0.0,0,0
5.0,0.0,0,0
65.0,1.0215419500711418,0,0
9.0,1.2,0,0
8.0,1.7999999970197678,0,0
10.0,1.25,0,0
2.0,0.0,0,0
3.0,0.0,0,0
29.0,1.07051282032178,0,0
17.0,1.1388888880610466,0,0
14.0,1.21875,0,0
12.0,1.125,0,0
6.0,1.5,0,0
9.0,1.0,0,0
4.0,2.0,0,0
4.0,2.0,0,0
6.0,0.0,0,0
2.0,0.0,0,0
13.0,0.0,0,0
5.0,0.0,0,0
5.0,0.5,0,0
45.0,1.017156862653792,0,0
5.0,2.0,0,0
2.0,0.0,0,0
3.0,0.0,0,0
25.0,1.0576923076923077,0,0
3.0,0.0,0,0
4.0,2.0,0,0
2.0,0.0,0,0
8.0,1.3333333333333333,0,0
6.0,0.0,0,0
22.0,1.046875,0,0
5.0,1.5,0,0
14.0,1.21875,0,0
12.0,1.0833333333333333,0,0
7.0,1.5,0,0
