@relation Blob

@attribute NAD_NMD REAL
@attribute LCOM5 REAL
@attribute DataSize REAL
@attribute class {0,1}

@Data
15.0,1.1666666666666667,0,0
4.0,2.0,0,0
15.0,1.0833333333333333,0,0
6.0,1.3333333333333333,0,0
2.0,0.0,0,0
8.0,1.3333333333333333,0,0
13.0,1.0952380845944087,0,0
18.0,1.0666666666666667,0,0
16.0,1.088888888557752,0,0
5.0,0.0,0,0
8.0,1.25,0,0
3.0,0.0,0,0
5.0,1.5,0,0
16.0,0.9749999977648258,0,0
12.0,1.1428571428571428,0,0
2.0,0.0,0,0
7.0,1.3333333333333333,0,0
5.0,2.0,0,0
6.0,1.5,0,0
6.0,1.5,0,0
3.0,0.0,0,0
11.0,1.25,0,0
9.0,1.5,0,0
3.0,0.0,0,0
7.0,1.5,0,0
2.0,0.0,0,0
7.0,1.3333333333333333,0,0
17.0,1.1,0,0
1.0,0.0,0,0
9.0,1.25,0,0
9.0,1.8333333283662796,0,0
16.0,1.1458333333333333,0,0
8.0,0.0,0,0
8.0,1.0,0,0
7.0,1.3333333333333333,0,0
7.0,1.0,0,0
15.0,1.21875,0,0
2.0,0.0,0,0
17.0,1.2499999925494194,0,0
3.0,0.0,0,0
11.0,1.1666666666666667,0,0
12.0,1.1666666666666667,0,0
10.0,1.1666666666666667,0,0
3.0,0.0,0,0
17.0,0.972222218910853,0,0
7.0,1.3333333333333333,0,0
21.0,1.0833333333333333,0,0
1.0,0.0,0,0
5.0,0.0,0,0
5.0,0.0,0,0
5.0,0.0,0,0
5.0,0.0,0,0
13.0,0.0,0,0
5.0,1.0,0,0
5.0,2.0,0,0
8.0,1.375,0,0
10.0,0.9333333253860474,0,0
9.0,1.25,0,0
10.0,1.2,0,0
10.0,1.25,0,0
7.0,1.0,0,0
8.0,1.3333333333333333,0,0
14.0,0.7142857142857143,0,0
8.0,1.2,0,0
7.0,1.25,0,0
10.0,1.0666666626930237,0,0
4.0,0.0,0,0
2.0,0.0,0,0
8.0,1.2,0,0
12.0,0.0,0,0
2.0,0.0,0,0
3.0,0.0,0,0
58.0,1.0,0,0
39.0,0.9999999991234612,0,0
11.0,1.2,0,0
27.0,1.0526315789473684,0,0
4.0,2.0,0,0
6.0,1.5,0,0
6.0,1.5,0,0
6.0,1.5,0,0
6.0,1.5,0,0
6.0,1.5,0,0
30.0,1.025,0,0
13.0,1.1428571428571428,0,0
9.0,1.25,0,0
6.0,2.0,0,0
61.0,1.0131578946486115,0,0
2.0,0.0,0,0
9.0,1.2,0,0
5.0,0.0,0,0
5.0,1.5,0,0
2.0,0.0,0,0
3.0,0.0,0,0
1.0,0.0,0,0
2.0,0.0,0,0
1.0,0.0,0,0
23.0,1.0408163251621383,0,0
11.0,1.25,0,0
1.0,0.0,0,0
2.0,0.0,0,0
22.0,1.0833333333333333,0,0
2.0,0.0,0,0
2.0,0.0,0,0
5.0,1.0,0,0
24.0,1.0588235294117647,0,0
9.0,1.3333333333333333,0,0
4.0,2.0,0,0
9.0,1.3333333333333333,0,0
5.0,1.5,0,0
11.0,0.9999999900658926,0,0
7.0,1.1666666567325592,0,0
14.0,1.171428570151329,0,0
5.0,0.0,0,0
5.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
5.0,0.0,0,0
4.0,0.0,0,0
7.0,2.0,0,0
6.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
2.0,0.0,0,0
5.0,1.5,0,0
2.0,0.0,0,0
3.0,0.0,0,0
4.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
6.0,1.3333333333333333,0,0
14.0,1.125,0,0
28.0,0.9855072446491407,0,0
3.0,0.0,0,0
4.0,0.0,0,0
17.0,1.0714285714285714,0,0
11.0,1.125,0,0
5.0,0.0,0,0
14.0,1.0999999990065892,0,0
12.0,1.1428571428571428,0,0
12.0,1.0399999976158143,0,0
1.0,0.0,0,0
5.0,1.5,0,0
28.0,1.0357142857142858,0,0
2.0,0.0,0,0
36.0,1.0271739130434783,0,0
2.0,0.0,0,0
7.0,1.0,0,0
23.0,1.0,0,0
6.0,1.5,0,0
12.0,1.1666666616996129,0,0
2.0,0.0,0,0
9.0,1.25,0,0
56.0,1.0170940163510818,0,0
11.0,0.0,0,0
15.0,1.1666666666666667,0,0
35.0,0.9725490151082768,0,0
4.0,0.0,0,0
16.0,1.0571428507566452,0,0
10.0,1.133333330353101,0,0
5.0,0.0,0,0
9.0,0.0,0,0
5.0,0.0,0,0
7.0,1.0,0,0
