@relation Blob

@attribute NAD_NMD REAL
@attribute LCOM5 REAL
@attribute DataSize REAL
@attribute class {0,1}

@Data
6.0,1.0,0,0
6.0,1.0,0,0
4.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
12.0,0.0,0,0
20.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
3.0,0.0,0,0
2.0,0.0,0,0
5.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
4.0,0.0,0,0
9.0,0.8,0,0
13.0,1.125,0,0
10.0,0.8666666597127914,0,0
6.0,1.5,0,0
29.0,1.1727272719144821,0,0
2.0,0.0,0,0
2.0,0.0,0,0
2.0,0.0,0,0
11.0,1.3571428507566452,0,0
3.0,0.0,0,0
9.0,0.0,0,0
44.0,1.022675736496846,0,0
3.0,0.0,0,0
9.0,0.0,0,0
11.0,1.1666666666666667,0,0
15.0,1.1388888880610466,0,0
5.0,1.0,0,0
8.0,0.75,0,0
6.0,0.0,0,0
7.0,2.0,0,0
12.0,0.7619047505514962,0,0
9.0,0.6,0,0
23.0,1.1111111111111112,0,0
16.0,1.088888888557752,0,0
11.0,1.125,0,0
9.0,0.0,0,0
12.0,1.2,0,0
3.0,0.0,0,0
3.0,0.0,0,0
54.0,1.0232558139534884,0,0
8.0,1.2,0,0
26.0,1.0588235294117647,0,0
7.0,0.0,0,0
10.0,0.0,0,0
11.0,0.0,0,0
9.0,0.0,0,0
16.0,1.088888888557752,0,0
3.0,0.0,0,0
11.0,0.85,0,0
11.0,1.125,0,0
9.0,0.0,0,0
7.0,0.8333333333333334,0,0
109.0,1.0106382978723405,0,0
27.0,0.9705882352941176,0,0
11.0,1.0625,0,0
16.0,1.088888888557752,0,0
7.0,1.1666666666666667,0,0
19.0,1.0925925920406978,0,0
81.0,1.0637362637290997,0,0
20.0,2.0,0,0
23.0,1.0399999991059303,0,0
11.0,1.125,0,0
9.0,0.0,0,0
54.0,1.0120967741935485,0,0
3.0,0.0,0,0
8.0,1.1111111044883728,0,0
2.0,0.0,0,0
2.0,0.0,0,0
6.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
8.0,1.2,0,0
3.0,0.0,0,0
4.0,0.0,0,0
2.0,0.0,0,0
15.0,1.0833333333333333,0,0
2.0,0.0,0,0
2.0,0.0,0,0
1.0,0.0,0,0
3.0,0.0,0,0
2.0,0.0,0,0
4.0,0.0,0,0
3.0,0.0,0,0
1.0,0.0,0,0
95.0,1.0011481051124744,0,0
30.0,1.0233918126476438,0,0
5.0,1.5,0,0
9.0,0.0,0,0
76.0,1.0261437908435862,0,0
55.0,1.0246913579327088,0,0
17.0,1.0769230769230769,0,0
6.0,0.6666666666666666,0,0
5.0,2.0,0,0
252.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
1.0,0.0,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
15.0,0.0,0,0
248.0,1.5,0,0
248.0,1.5,0,0
248.0,1.5,0,0
2.0,0.0,0,0
7.0,0.0,0,0
19.0,0.9999999987582365,0,0
6.0,0.0,0,0
6.0,1.3333333333333333,0,0
8.0,1.25,0,0
5.0,1.5,0,0
335.0,0.0,0,0
29.0,0.64,0,0
5.0,0.0,0,0
11.0,1.1428571428571428,0,0
9.0,0.0,0,0
9.0,1.1666666666666667,0,0
16.0,1.0909090909090908,0,0
6.0,0.0,0,0
5.0,0.0,0,0
4.0,0.0,0,0
10.0,1.1428571428571428,0,0
14.0,1.1,0,0
1.0,0.0,0,0
4.0,0.0,0,0
5.0,0.0,0,0
15.0,1.125,0,0
17.0,1.0833333333333333,0,0
8.0,1.25,0,0
5.0,0.0,0,0
23.0,1.0249999994412065,0,0
9.0,1.1666666666666667,0,0
41.0,0.9925925922890504,0,0
7.0,1.25,0,0
52.0,1.0256410256410255,0,0
3.0,0.0,0,0
9.0,1.1666666666666667,0,0
7.0,1.3333333333333333,0,0
20.0,1.0769230769230769,0,0
32.0,1.05,0,0
101.0,1.0025210079901359,0,0
7.0,1.25,0,0
15.0,1.1111111111111112,0,0
5.0,0.0,0,0
8.0,1.2,0,0
14.0,1.1111111111111112,0,0
28.0,1.05,0,0
4.0,2.0,0,0
8.0,1.2,0,0
16.0,1.1,0,0
8.0,0.0,0,0
5.0,0.0,0,0
3.0,0.0,0,0
14.0,1.1111111111111112,0,0
14.0,1.125,0,0
36.0,0.7096774193548387,0,0
47.0,1.0228571427719935,0,0
99.0,0.9925799080464122,0,0
15.0,1.0277777777777777,0,0
67.0,1.0108695651364068,0,0
26.0,0.991596635650186,0,0
21.0,1.0769230769230769,0,0
6.0,0.0,0,0
5.0,2.0,0,0
7.0,1.5,0,0
9.0,0.0,0,0
12.0,1.25,0,0
4.0,0.0,0,0
1.0,0.0,0,0
11.0,0.0,0,0
13.0,0.0,0,0
16.0,1.0612244861466544,0,0
7.0,0.0,0,0
19.0,0.7,0,0
7.0,2.0,0,0
2.0,0.0,0,0
9.0,2.0,0,0
7.0,1.3333333333333333,0,0
5.0,0.0,0,0
6.0,1.5,0,0
3.0,0.0,0,0
7.0,2.0,0,0
12.0,1.0833333333333333,0,0
13.0,1.1,0,0
9.0,0.0,0,0
6.0,1.25,0,0
10.0,2.0,0,0
19.0,1.2,0,0
4.0,0.0,0,0
4.0,0.0,0,0
8.0,1.25,0,0
10.0,1.1666666666666667,0,0
16.0,0.0,0,0
48.0,0.9673659650213791,0,0
57.0,0.9756097539169032,0,0
172.0,1.004615384569535,0,0
7.0,1.5,0,0
2.0,0.0,0,0
2.0,0.0,0,0
20.0,1.125,0,0
28.0,1.0437499997206032,0,0
16.0,1.088888888557752,0,0
7.0,0.0,0,0
11.0,1.125,0,0
9.0,0.0,0,0
5.0,0.0,0,0
3.0,0.0,0,0
7.0,2.0,0,0
16.0,1.088888888557752,0,0
11.0,1.125,0,0
9.0,0.0,0,0
18.0,1.1499999997516472,0,0
10.0,0.8666666597127914,0,0
1.0,0.0,0,0
1.0,0.0,0,0
1.0,0.0,0,0
8.0,1.25,0,0
9.0,1.1666666666666667,0,0
10.0,1.1666666666666667,0,0
13.0,1.1428571428571428,0,0
10.0,1.2,0,0
10.0,1.25,0,0
4.0,0.0,0,0
4.0,2.0,0,0
14.0,1.1388888880610466,0,0
2.0,0.0,0,0
7.0,0.0,0,0
16.0,1.2,0,0
4.0,2.0,0,0
8.0,1.2,0,0
3.0,0.0,0,0
11.0,1.1666666666666667,0,0
5.0,2.0,0,0
11.0,1.1666666666666667,0,0
2.0,0.0,0,0
3.0,0.0,0,0
4.0,0.0,0,0
5.0,0.0,0,0
3.0,0.0,0,0
7.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
2.0,0.0,0,0
8.0,1.3333333333333333,0,0
6.0,2.0,0,0
5.0,0.0,0,0
15.0,1.1,0,0
21.0,1.0666666666666667,0,0
7.0,1.25,0,0
9.0,0.8,0,0
9.0,1.25,0,0
8.0,1.25,0,0
2.0,0.0,0,0
8.0,0.0,0,0
8.0,1.25,0,0
7.0,2.0,0,0
11.0,1.1,0,0
58.0,1.0081521739130435,0,0
2.0,0.0,0,0
12.0,1.1428571428571428,0,0
1.0,0.0,0,0
7.0,1.3333333333333333,0,0
1.0,0.0,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
3.0,0.0,0,0
5.0,1.5,0,0
10.0,1.25,0,0
8.0,1.5,0,0
1.0,0.0,0,0
6.0,1.5,0,0
4.0,0.0,0,0
10.0,1.0833333333333333,0,0
24.0,0.9687499972060323,0,0
10.0,1.2,0,0
3.0,0.0,0,0
17.0,1.125,0,0
16.0,1.08333333209157,0,0
5.0,1.5,0,0
52.0,0.9999999993577086,0,0
7.0,1.5,0,0
3.0,0.0,0,0
6.0,1.5,0,0
3.0,0.0,0,0
3.0,0.0,0,0
31.0,1.0735294117281835,0,0
3.0,0.0,0,0
16.0,1.088888888557752,0,0
4.0,0.0,0,0
24.0,1.0571428526725088,0,0
9.0,1.1666666666666667,0,0
4.0,2.0,0,0
16.0,1.1111111111111112,0,0
10.0,1.1666666666666667,0,0
106.0,1.0004504497691586,0,0
4.0,0.0,0,0
3.0,0.0,0,0
33.0,1.0333333331204595,0,0
6.0,1.5,0,0
9.0,1.2,0,0
15.0,1.125,0,0
5.0,1.5,0,0
14.0,1.1111111111111112,0,0
3.0,0.0,0,0
1.0,0.0,0,0
2.0,0.0,0,0
11.0,1.125,0,0
9.0,0.0,0,0
6.0,1.3333333333333333,0,0
29.0,1.0308641973468993,0,0
5.0,2.0,0,0
20.0,0.9642857142857143,0,0
30.0,1.016666666087177,0,0
3.0,0.0,0,0
2.0,0.0,0,0
94.0,1.0057291666666666,0,0
35.0,0.9565217378346816,0,0
66.0,0.9878472212391595,0,0
35.0,1.033057850870219,0,0
17.0,0.9791666623204947,0,0
17.0,1.025,0,0
5.0,0.0,0,0
7.0,1.3333333333333333,0,0
8.0,1.2,0,0
10.0,1.1875,0,0
4.0,2.0,0,0
11.0,1.2,0,0
10.0,0.9999999940395355,0,0
6.0,1.0,0,0
8.0,1.3333333333333333,0,0
6.0,0.0,0,0
33.0,1.034188033392032,0,0
2.0,0.0,0,0
9.0,1.25,0,0
9.0,1.2,0,0
24.0,1.0749999998758237,0,0
14.0,1.125,0,0
44.0,1.0877742946825244,0,0
38.0,1.0434782608695652,0,0
97.0,1.0093196643002589,0,0
11.0,1.199999999254942,0,0
13.0,1.1666666666666667,0,0
55.0,0.0,0,0
18.0,1.2,0,0
20.0,0.0,0,0
17.0,1.1428571428571428,0,0
22.0,1.125,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
123.0,1.1981481481343508,0,0
5.0,2.0,0,0
27.0,0.0,0,0
14.0,1.1428571428571428,0,0
54.0,1.04,0,0
16.0,0.8125,0,0
3.0,0.0,0,0
6.0,1.5,0,0
5.0,1.5,0,0
21.0,0.0,0,0
2.0,0.0,0,0
5.0,2.0,0,0
23.0,1.0526315789473684,0,0
3.0,0.0,0,0
16.0,1.088888888557752,0,0
18.0,1.0384615384615385,0,0
27.0,0.0,0,0
20.0,0.0,0,0
23.0,1.0526315789473684,0,0
8.0,1.3333333333333333,0,0
11.0,1.125,0,0
9.0,0.0,0,0
8.0,1.5,0,0
4.0,0.0,0,0
18.0,0.0,0,0
22.0,1.1,0,0
51.0,1.0357142857142858,0,0
9.0,1.5,0,0
20.0,1.0588235294117647,0,0
9.0,0.0,0,0
9.0,1.1666666666666667,0,0
128.0,1.0072028810987954,0,0
4.0,0.0,0,0
28.0,1.0833333333333333,0,0
16.0,1.1111111111111112,0,0
12.0,1.125,0,0
5.0,2.0,0,0
20.0,1.1,0,0
70.0,1.0178571428571428,0,0
7.0,0.0,0,0
17.0,1.1111111104488374,0,0
14.0,1.1666666666666667,0,0
2.0,0.0,0,0
12.0,1.1428571428571428,0,0
3.0,0.0,0,0
8.0,1.2,0,0
25.0,1.0555555555555556,0,0
8.0,1.2,0,0
12.0,1.125,0,0
61.0,1.0196078431372548,0,0
5.0,1.5,0,0
36.0,1.0681818172335624,0,0
17.0,1.125,0,0
25.0,1.1666666666666667,0,0
12.0,1.4285714253783226,0,0
13.0,1.125,0,0
16.0,1.088888888557752,0,0
104.0,1.012931034486327,0,0
11.0,1.125,0,0
9.0,0.0,0,0
123.0,1.0092592592592593,0,0
6.0,1.5,0,0
10.0,1.25,0,0
13.0,1.2,0,0
17.0,1.1111111111111112,0,0
11.0,1.1666666666666667,0,0
18.0,1.0476190469094686,0,0
12.0,1.1666666666666667,0,0
76.0,1.0189393937587738,0,0
25.0,0.9642857142857143,0,0
9.0,1.2,0,0
101.0,1.0142332414786022,0,0
13.0,1.0714285714285714,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
3.0,0.0,0,0
19.0,1.0909090909090908,0,0
6.0,0.0,0,0
2.0,0.0,0,0
3.0,0.0,0,0
16.0,1.088888888557752,0,0
5.0,0.0,0,0
11.0,1.125,0,0
9.0,0.0,0,0
13.0,1.0666666651765506,0,0
6.0,0.0,0,0
25.0,1.083333333107558,0,0
8.0,0.8888888756434122,0,0
32.0,0.9937888176544852,0,0
26.0,1.0375,0,0
16.0,1.088888888557752,0,0
11.0,0.0,0,0
25.0,0.875,0,0
11.0,1.125,0,0
9.0,0.0,0,0
25.0,0.8666666638520029,0,0
23.0,1.0555555552244187,0,0
29.0,1.045454544680459,0,0
10.0,1.2,0,0
57.0,1.0251989386461933,0,0
41.0,0.9629629607553836,0,0
57.0,1.017045454122126,0,0
5.0,0.0,0,0
8.0,0.8333333134651184,0,0
28.0,1.05,0,0
4.0,2.0,0,0
5.0,0.0,0,0
6.0,0.0,0,0
2.0,0.0,0,0
17.0,1.0,0,0
27.0,1.1666666666666667,0,0
16.0,1.088888888557752,0,0
11.0,1.125,0,0
9.0,0.0,0,0
16.0,1.0204081577914101,0,0
12.0,1.0416666604578495,0,0
6.0,1.0,0,0
9.0,1.5,0,0
20.0,1.0833333333333333,0,0
6.0,2.0,0,0
120.0,1.0126839167859456,0,0
4.0,0.0,0,0
3.0,0.0,0,0
134.0,1.0092592592592593,0,0
23.0,1.0666666666666667,0,0
12.0,1.1428571428571428,0,0
11.0,1.1428571428571428,0,0
6.0,1.5,0,0
3.0,0.0,0,0
92.0,1.003831417396151,0,0
5.0,0.0,0,0
11.0,1.133333330353101,0,0
13.0,1.0476190447807312,0,0
15.0,1.0833333333333333,0,0
36.0,1.0909090909090908,0,0
13.0,1.0833333333333333,0,0
55.0,0.9783037457710657,0,0
27.0,1.0222222175863054,0,0
10.0,1.25,0,0
16.0,1.088888888557752,0,0
11.0,1.125,0,0
9.0,0.0,0,0
50.0,0.9901719890736245,0,0
38.0,1.0277777776122092,0,0
106.0,1.008362676056338,0,0
58.0,1.017906335718704,0,0
23.0,1.1428571428571428,0,0
84.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
1.0,0.0,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
7.0,0.0,0,0
82.0,1.5,0,0
82.0,1.5,0,0
82.0,1.5,0,0
12.0,1.2,0,0
9.0,0.9166666567325592,0,0
31.0,1.0748663101006637,0,0
15.0,1.5,0,0
31.0,1.3333333333333333,0,0
83.0,1.0125,0,0
4.0,0.0,0,0
18.0,1.03125,0,0
6.0,0.0,0,0
16.0,0.7708333227783442,0,0
16.0,1.088888888557752,0,0
28.0,1.3188405794401963,0,0
3.0,0.0,0,0
11.0,1.125,0,0
9.0,0.0,0,0
92.0,1.014153846181356,0,0
3.0,0.0,0,0
13.0,0.9999999975164732,0,0
43.0,1.0256410256410255,0,0
44.0,1.0285714285714285,0,0
31.0,0.9891304347826086,0,0
96.0,1.0126262625886335,0,0
41.0,0.0,0,0
25.0,0.0,0,0
98.0,1.004938271218612,0,0
45.0,1.025,0,0
17.0,1.0769230769230769,0,0
2.0,0.0,0,0
8.0,0.2,0,0
16.0,1.0624999981373549,0,0
16.0,0.8181818100539121,0,0
17.0,1.0909090909090908,0,0
6.0,1.5,0,0
23.0,0.0,0,0
21.0,0.9999999983443154,0,0
12.0,1.1111111111111112,0,0
35.0,0.9153846135506263,0,0
