@relation Blob

@attribute NAD_NMD REAL
@attribute LCOM5 REAL
@attribute DataSize REAL
@attribute class {0,1}

@Data
33.0,1.25,0,0
11.0,1.15,0,0
11.0,1.1111111094554265,0,0
2.0,0.0,0,0
4.0,0.0,0,0
28.0,1.25,0,0
41.0,1.1034482758906152,0,0
27.0,1.1428571408614516,0,0
8.0,1.25,0,0
34.0,1.133333332836628,0,0
10.0,1.1428571428571428,0,0
2.0,0.0,0,0
26.0,1.0785714276134968,0,0
10.0,1.2,0,0
24.0,1.125,0,0
30.0,1.0256410241127014,0,0
5.0,1.5,0,0
28.0,1.04,0,0
24.0,1.0476190476190477,0,0
18.0,1.0666666666666667,0,0
4.0,2.0,0,0
6.0,1.3333333333333333,0,0
8.0,1.2,0,0
14.0,1.0909090909090908,0,0
16.0,1.0666666660043929,0,0
13.0,1.1,0,0
23.0,1.1428571428571428,0,0
4.0,2.0,0,0
4.0,2.0,0,0
4.0,2.0,0,0
4.0,2.0,0,0
43.0,1.0138888887595385,0,0
24.0,1.0476190476190477,0,0
2.0,0.0,0,0
8.0,1.2,0,0
21.0,1.0588235294117647,0,0
18.0,1.0666666666666667,0,0
6.0,1.3333333333333333,0,0
10.0,1.1428571428571428,0,0
4.0,2.0,0,0
4.0,2.0,0,0
4.0,2.0,0,0
22.0,1.0526315789473684,0,0
28.0,1.04,0,0
39.0,1.0277777777777777,0,0
4.0,2.0,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
6.0,1.3333333333333333,0,0
20.0,1.0588235294117647,0,0
7.0,1.3333333333333333,0,0
4.0,2.0,0,0
10.0,1.1428571428571428,0,0
6.0,1.3333333333333333,0,0
8.0,1.2,0,0
36.0,1.0303030303030303,0,0
6.0,1.3333333333333333,0,0
16.0,1.0769230769230769,0,0
4.0,2.0,0,0
10.0,1.1428571428571428,0,0
4.0,2.0,0,0
4.0,2.0,0,0
16.0,1.0769230769230769,0,0
26.0,1.0454545454545454,0,0
8.0,1.2,0,0
4.0,2.0,0,0
32.0,1.0344827586206897,0,0
14.0,1.0909090909090908,0,0
40.0,1.0285714285714285,0,0
23.0,1.0526315789473684,0,0
17.0,1.0769230769230769,0,0
24.0,1.0476190476190477,0,0
4.0,2.0,0,0
6.0,1.3333333333333333,0,0
2.0,0.0,0,0
14.0,1.1142857138599669,0,0
9.0,0.0,0,0
12.0,1.1111111111111112,0,0
10.0,1.1428571428571428,0,0
10.0,1.1428571428571428,0,0
8.0,1.2,0,0
8.0,1.2,0,0
8.0,1.2,0,0
20.0,1.0588235294117647,0,0
4.0,2.0,0,0
16.0,1.0769230769230769,0,0
6.0,1.3333333134651184,0,0
